date,open,high,low,close,volume,barCount,WAP
2023-01-19,4.09,4.15,4.01,4.02,1486755.0,5662,
2023-01-20,4.24,4.44,4.14,4.34,2886862.0,10185,
2023-01-23,4.51,4.62,4.36,4.5,3209920.0,11605,
2023-01-24,4.46,4.73,4.37,4.44,1398743.0,5843,
2023-01-25,4.31,4.54,4.26,4.5,1263192.0,4823,
2023-01-26,4.63,4.68,4.3,4.54,2217171.0,7996,
2023-01-27,4.48,4.57,4.43,4.49,3684663.0,11356,
2023-01-30,4.47,4.59,4.4,4.46,1827010.0,6435,
2023-01-31,4.51,4.58,4.42,4.44,1759800.0,6116,
2023-02-01,4.45,4.79,4.4,4.76,3613661.0,13127,
2023-02-02,4.93,5.57,4.9,5.49,6535065.0,20530,
2023-02-03,5.26,5.72,5.22,5.5,3936498.0,13435,
2023-02-06,5.8,6.0,5.34,5.41,8334706.0,23150,
2023-02-07,5.44,5.46,4.95,5.15,4931371.0,15814,
2023-02-08,5.15,5.48,5.1,5.13,2773552.0,9014,
2023-02-09,5.21,5.22,4.66,4.69,4047587.0,11968,
2023-02-10,4.72,4.94,4.68,4.81,2207847.0,6689,
2023-02-13,4.87,4.91,4.68,4.89,2097802.0,7261,
2023-02-14,4.76,5.07,4.67,4.99,3284966.0,11575,
2023-02-15,5.0,5.65,5.0,5.65,4834798.0,14617,
2023-02-16,5.48,5.59,5.26,5.28,2677533.0,8210,
2023-02-17,5.17,5.2,4.8,4.88,2995013.0,10074,
2023-02-21,4.87,4.92,4.61,4.64,2181475.0,7764,
2023-02-22,4.68,4.78,4.55,4.76,1853161.0,7068,
2023-02-23,4.87,4.9,4.61,4.78,1923186.0,6734,
2023-02-24,4.6,4.7,4.51,4.57,1875068.0,7165,
2023-02-27,4.6,4.67,4.58,4.63,1081889.0,4025,
2023-02-28,4.65,4.82,4.59,4.74,1329376.0,5645,
2023-03-01,4.76,4.77,4.56,4.62,1479686.0,5482,
2023-03-02,4.54,4.77,4.46,4.76,1774490.0,6302,
2023-03-03,4.8,5.05,4.78,5.03,1979564.0,5929,
2023-03-06,5.07,5.21,4.9,4.93,1886694.0,5802,
2023-03-07,4.96,5.13,4.82,4.94,1846729.0,5866,
2023-03-08,4.97,5.15,4.86,5.06,1717541.0,5202,
2023-03-09,5.05,5.19,4.77,4.83,2785638.0,8587,
2023-03-10,4.83,4.84,4.49,4.56,3178340.0,9877,
2023-03-13,4.47,4.79,4.38,4.71,2979591.0,11293,
2023-03-14,4.77,4.93,4.73,4.79,1778185.0,6568,
2023-03-15,4.64,4.8,4.63,4.77,1832286.0,6185,
2023-03-16,4.77,4.88,4.68,4.8,1420792.0,4953,
2023-03-17,4.82,4.89,4.63,4.73,2022512.0,6362,
2023-03-20,4.72,4.76,4.61,4.61,1768152.0,5869,
2023-03-21,4.65,4.94,4.63,4.87,4512122.0,15971,
2023-03-22,4.88,4.98,4.65,4.65,2053911.0,7084,
2023-03-23,4.72,5.08,4.71,4.84,2917202.0,7711,
2023-03-24,4.84,4.96,4.74,4.88,1929247.0,6037,
2023-03-27,4.94,5.24,4.84,5.12,3243396.0,9066,
2023-03-28,5.12,5.13,4.65,4.7,3391555.0,10341,
2023-03-29,4.82,5.14,4.8,5.13,2818665.0,9263,
2023-03-30,5.2,5.35,5.04,5.08,3318240.0,10137,
2023-03-31,5.35,6.77,5.25,6.15,30765674.0,80733,
2023-04-03,6.27,6.54,5.91,6.15,8490488.0,28088,
2023-04-04,6.31,7.18,6.3,7.07,16656006.0,47385,
2023-04-05,7.21,7.21,6.41,6.66,9457929.0,28092,
2023-04-06,6.3,6.96,6.21,6.81,5743282.0,18433,
2023-04-10,6.84,7.0,6.64,6.85,4627511.0,14458,
2023-04-11,6.92,7.35,6.68,6.78,6201734.0,18087,
2023-04-12,7.04,7.06,6.51,6.59,3462456.0,11350,
2023-04-13,6.67,6.94,6.61,6.82,3195249.0,11204,
2023-04-14,6.71,6.96,6.53,6.71,2825149.0,10080,
2023-04-17,6.68,6.87,6.42,6.55,2718280.0,8889,
2023-04-18,6.59,6.61,6.27,6.4,2995349.0,10864,
2023-04-19,6.22,6.37,6.16,6.28,2166844.0,7590,
2023-04-20,6.07,6.24,6.0,6.1,2372609.0,7885,
2023-04-21,6.1,6.27,6.0,6.25,1892821.0,5961,
2023-04-24,6.28,6.34,5.82,5.84,4056332.0,12340,
2023-04-25,5.71,5.74,5.44,5.51,3205166.0,10252,
2023-04-26,5.52,5.6,5.37,5.4,2343695.0,8234,
2023-04-27,5.5,5.66,5.45,5.55,1853840.0,7014,
2023-04-28,5.6,5.6,5.41,5.51,2009467.0,7346,
2023-05-01,5.53,5.66,5.45,5.49,2501951.0,8508,
2023-05-02,5.45,5.59,5.3,5.31,2086441.0,8102,
2023-05-03,5.34,5.53,5.29,5.41,1945771.0,7215,
2023-05-04,5.45,5.6,5.38,5.57,2052841.0,7525,
2023-05-05,5.74,5.96,5.7,5.9,3350609.0,11210,
2023-05-08,6.13,6.24,6.0,6.15,3162411.0,10897,
2023-05-09,6.12,6.46,6.07,6.38,2909449.0,10094,
2023-05-10,6.54,6.97,6.43,6.95,4131156.0,13575,
2023-05-11,6.84,7.12,6.65,7.02,6232412.0,18724,
2023-05-12,6.39,6.66,6.0,6.35,7585298.0,24300,
2023-05-15,6.34,7.46,6.33,7.34,6782905.0,22742,
2023-05-16,7.04,8.06,7.02,7.99,10780524.0,36529,
2023-05-17,7.99,9.15,7.91,8.96,11906421.0,40143,
2023-05-18,8.98,9.45,8.53,9.09,12159915.0,40240,
2023-05-19,9.14,9.32,8.76,8.88,6054142.0,20868,
2023-05-22,9.01,11.32,8.89,10.86,23672013.0,73024,
2023-05-23,10.93,11.65,10.66,10.83,14284196.0,49730,
2023-05-24,9.68,10.36,9.15,10.24,12447137.0,38556,
2023-05-25,10.51,10.63,9.23,9.35,13821605.0,45725,
2023-05-26,9.48,10.22,9.45,10.0,9161138.0,33889,
2023-05-30,10.2,11.1,9.86,10.99,13098434.0,47954,
2023-05-31,10.53,11.07,10.31,10.79,7543605.0,27229,
2023-06-01,10.57,11.34,10.4,10.72,11815607.0,40605,
2023-06-02,10.63,10.7,9.06,9.22,14108360.0,44982,
2023-06-05,9.45,9.9,8.9,9.84,7599665.0,27910,
2023-06-06,9.55,10.05,9.3,9.81,6885543.0,23613,
2023-06-07,9.93,10.48,9.41,9.45,7738437.0,25684,
2023-06-08,9.64,10.87,9.45,10.65,10477105.0,32175,
2023-06-09,10.45,11.31,10.33,10.55,9286957.0,30094,
2023-06-12,10.65,11.22,10.25,10.54,7440422.0,23635,
2023-06-13,10.85,10.85,9.94,10.63,8724217.0,29413,
2023-06-14,10.52,11.56,9.72,9.94,17705096.0,53132,
2023-06-15,9.93,10.05,9.73,9.94,4391532.0,15185,
2023-06-16,10.12,10.17,9.62,9.7,4354502.0,14733,
2023-06-20,9.65,9.71,9.12,9.31,5252785.0,19456,
2023-06-21,9.15,9.38,8.83,9.22,5831476.0,21329,
2023-06-22,9.01,9.54,8.97,9.43,4483099.0,16072,
2023-06-23,10.06,10.67,9.2,9.37,14051723.0,43941,
2023-06-26,9.76,10.78,9.52,10.33,15497448.0,45514,
2023-06-27,10.46,10.88,10.26,10.81,6956516.0,24515,
2023-06-28,10.67,13.56,10.66,13.35,30654186.0,96890,
2023-06-29,13.2,14.07,12.86,13.53,13490708.0,46035,
2023-06-30,13.82,14.8,13.41,13.53,14465841.0,47719,
2023-07-03,13.79,14.3,13.32,13.5,4655199.0,17868,
2023-07-05,13.49,15.07,13.34,14.12,11630089.0,40420,
2023-07-06,13.86,13.89,12.69,13.29,8228678.0,27908,
2023-07-07,13.72,14.13,13.22,13.28,6733408.0,23748,
2023-07-10,13.5,14.15,12.93,14.03,7873171.0,24058,
2023-07-11,14.07,14.55,13.51,13.86,8967185.0,30385,
2023-07-12,14.17,14.83,13.61,14.72,10463776.0,33701,
2023-07-13,14.6,14.88,14.01,14.46,8250344.0,29113,
2023-07-14,14.62,15.36,13.41,13.55,11858790.0,41324,
2023-07-17,13.76,14.94,13.47,14.9,8289075.0,27959,
2023-07-18,14.8,15.85,14.78,15.71,11933656.0,43544,
2023-07-19,16.01,16.3,14.89,15.52,9927758.0,33651,
2023-07-20,15.38,16.08,14.77,14.92,6261479.0,24795,
2023-07-21,15.33,15.48,14.19,14.42,5603824.0,21700,
2023-07-24,14.58,14.8,14.15,14.39,3579198.0,13713,
2023-07-25,14.57,15.87,14.47,15.22,7705221.0,26901,
2023-07-26,15.43,16.38,14.93,16.19,8208297.0,28752,
2023-07-27,16.61,17.05,15.27,15.53,9243515.0,30599,
2023-07-28,15.86,18.01,15.77,17.93,12142378.0,44549,
2023-07-31,18.82,19.33,18.06,19.25,10118148.0,36856,
2023-08-01,18.48,20.14,18.43,19.86,11641715.0,43196,
2023-08-02,19.13,19.47,17.3,18.33,10980891.0,43523,
2023-08-03,18.0,19.02,17.85,18.29,6119093.0,23018,
2023-08-04,18.35,18.61,17.16,17.39,8840437.0,33755,
2023-08-07,17.41,17.41,15.0,15.58,12910156.0,48228,
2023-08-08,14.85,15.5,14.75,15.33,5917134.0,24255,
2023-08-09,15.84,15.84,14.1,14.49,9754158.0,36694,
